"Принят законопроект о внесении изменений в законы «О внешней миграции», «О внешней трудовой миграции», «О правовом положении иностранных граждан в Кыргызской Республике»",kenesh/kg/uploads/media/news_cover_photo/0001/86/thumb_85244_news_cover_photo_slider.jpg,24-05-2023 10:49
Принят проект Закона «О внесении изменений в Закон Кыргызской Республики «О рекламе» в третьем чтении,kenesh/kg/uploads/media/news_cover_photo/0001/86/thumb_85256_news_cover_photo_slider.jpg,24-05-2023 10:41
Торага Нурланбек Шакиев призвал использовать передовой опыт частных школ в государственных учебных заведениях,kenesh/kg/uploads/media/news_cover_photo/0001/86/thumb_85224_news_cover_photo_slider.jpg,23-05-2023 17:42
"Комитет Жогорку Кенеша ознакомился с деятельностью компаний, занимающихся разработкой песчано-гравийной смеси на территории горы Боз-Болток Аламудунского района",kenesh/kg/uploads/media/news_cover_photo/0001/86/thumb_85165_news_cover_photo_slider.jpeg,23-05-2023 17:05
Торага Нурланбек Шакиев ознакомился с состоянием ряда школ Кеминского района,kenesh/kg/uploads/media/news_cover_photo/0001/86/thumb_85208_news_cover_photo_slider.jpg,23-05-2023 16:24
Депутатская комиссия по изучению исполнения закона «О профессиональных союзах» посетила Иссык-Кульский район,kenesh/kg/uploads/media/news_cover_photo/0001/86/thumb_85158_news_cover_photo_slider.jpg,23-05-2023 15:51
Комитет Жогорку Кенеша одобрил законопроект  «О внесении изменения в Уголовно-процессуальный кодекс Кыргызской Республики» во втором чтении,kenesh/kg/uploads/media/news_cover_photo/0001/86/thumb_85156_news_cover_photo_slider.jpeg,23-05-2023 14:36
Визит Торага Нурланбека Шакиева в Чуйскую область продолжается в Чуйском и Кеминском районах,kenesh/kg/uploads/media/news_cover_photo/0001/86/thumb_85192_news_cover_photo_slider.jpg,23-05-2023 13:31
Торага Нурланбек Шакиев находится с рабочим визитом в Чуйской области,kenesh/kg/uploads/media/news_cover_photo/0001/86/thumb_85138_news_cover_photo_slider.JPG,23-05-2023 11:34
Депутат Карим Ханджеза посетил Жаны-Пахтинский айыльный аймак Сокулукского района,kenesh/kg/uploads/media/news_cover_photo/0001/86/thumb_85082_news_cover_photo_slider.jpg,22-05-2023 19:15
Комитет Жогорку Кенеша ознакомился с деятельностью ОАО «Кыргызиндустрия»,kenesh/kg/uploads/media/news_cover_photo/0001/86/thumb_85123_news_cover_photo_slider.jpg,22-05-2023 19:02
Заместитель Торага Жогорку Кенеша Нурбек Сыдыгалиев провел встречу  с участием представителей «Росатом» и жителей Жумгальского района Нарынской области,kenesh/kg/uploads/media/news_cover_photo/0001/86/thumb_85069_news_cover_photo_slider.jpg,22-05-2023 17:47
Торага Нурланбек Шакиев принял Омбудсмена Джамилю Джаманбаеву,kenesh/kg/uploads/media/news_cover_photo/0001/86/thumb_85041_news_cover_photo_slider.jpg,22-05-2023 15:54
Депутаты Камила Талиева и Динара Ашимова выступили с докладом по экологическому вопросу,kenesh/kg/uploads/media/news_cover_photo/0001/85/thumb_84989_news_cover_photo_slider.jpg,22-05-2023 15:02
Профильный комитет ознакомился с деятельностью ГП «Кара-Балтинский спиртзавод»,kenesh/kg/uploads/media/news_cover_photo/0001/86/thumb_85114_news_cover_photo_slider.jpg,22-05-2023 14:11
Профильный комитет рассмотрел законопроект  «О внесении изменений в некоторые законодательные акты Кыргызской Республики по вопросам образования» в первом чтении,kenesh/kg/uploads/media/news_cover_photo/0001/85/thumb_84959_news_cover_photo_slider.jpg,22-05-2023 12:43
Торага Нурланбек Шакиев принял участие в заседании Совета по устойчивому развитию в условиях изменения климата,kenesh/kg/uploads/media/news_cover_photo/0001/85/thumb_84943_news_cover_photo_slider.jpg,22-05-2023 12:15
Комитет по социальной политике рассмотрел проект Закона «О внесении изменений в Закон Кыргызской Республики «О защите от недостоверной (ложной) информации»,kenesh/kg/uploads/media/news_cover_photo/0001/85/thumb_84910_news_cover_photo_slider.jpg,22-05-2023 11:03
Комитет Жогорку Кенеша рассмотрел ряд законопроектов в третьем чтении,kenesh/kg/uploads/media/news_cover_photo/0001/85/thumb_84938_news_cover_photo_slider.jpg,22-05-2023 10:56
Комитет Жогорку Кенеша одобрил проект Закона «О внесении изменений в Закон Кыргызской Республики «О семенах» во втором чтении,kenesh/kg/uploads/media/news_cover_photo/0001/85/thumb_84909_news_cover_photo_slider.jpeg,22-05-2023 10:53
Депутаты Аида Исатбек кызы и Дастан Бекешев приняли участие в международном форуме «Санкт-Петербург – парламентская столица Содружества»,kenesh/kg/uploads/media/news_cover_photo/0001/85/thumb_84899_news_cover_photo_slider.jpg,20-05-2023 18:40
