Президент Садыр Жапаров принимает участие в заседании ВЕЭС
В одном из гаражей по улице Толстого в Бишкеке на мужчину упал автомобиль
ГКНБ задержал автора ложного сообщения о бомбе в школе-интернате № 21 Бишкека
Исхак Масалиев: Сколько денег поступило в бюджет от деятельности казино?
"#Авторскийракурс. Незнайка в Жогорку Кенеше, или Вредные советы для кыргызстанской молодежи"
Правозащитники бьют тревогу. Законопроект о «НКО» может привести к абсолютной ликвидации правозащитного сектора
В России предложили поднять зарплаты трудовым мигрантам
"В Сузаке мужчину, насиловавшего свою дочь десять лет, приговорили к пожизненному заключению"
"Эдиль Байсалов принял участие в «Последнем звонке» в школе № 68 столицы, где восемь выпускников удостоились аттестата «Алтын тамга»"
"Эмиль Жамгырчиев: Будет ли моральная ответственность у сотрудников мэрии за то, что не позволили вывезти вещи из здания «Батуми»? (видео)"
Снос ресторана «Батуми». Мэрия дала разъяснения
Руководство предприятия «Кыргызавтожол» присвоило свыше 10 миллионов сомов
Работу еще одного министерства Акылбек Жапаров подверг критике
Женишбек Токторбаев Алмасу Абытову: Почему вы здесь сидите и улыбаетесь? Вы должны плакать
Конституционный суд: При наличии обоснованных подозрений возбуждение уголовного дела в отношении депутата ЖК не является вторжением в его деятельность
Надира Нарматова: Хорошо бы запретить выезжать из Кыргызстана девушкам до 23-25 лет
Исхак Масалиев: Воля жителей должна стать решающим фактором в переименовании улиц
"Шарапаткан Мажитова заявила, что предприниматели сворачивают свою деятельность и уезжают в соседние страны"
На перевале Тоо-Ашуу идет снег
"Акылбек Жапаров рассказал, что сом — одна из самых стабильных валют в регионе"
"Кайсын Абакиров: Нурдан Орунтаев незаконно использовал свои полномочия, чтобы снести «Батуми» и получить выгоду от этого"
"Дастан Бекешев предложил 1 июня на 3-5 часов освободить от работы родителей, у которых дети до 16 лет"
Депутат Мейкинбек Абдалиев предложил открыть в каждом районе МТС
Иностранка пыталась дать сотрудникам ГКНБ взятку за прекращение проверки ее фирмы
